id,name,slug,games_count,image_background,games
23342,NVIDIA Lightspeed Studios,nvidia-lightspeed-studios,22,https://media.rawg.io/media/screenshots/a0f/a0f898ff084625c10e7f84058325b2eb.jpg,"[{'id': 13536, 'slug': 'portal', 'name': 'Portal', 'added': 17782}, {'id': 13537, 'slug': 'half-life-2', 'name': 'Half-Life 2', 'added': 16088}, {'id': 19710, 'slug': 'half-life-2-episode-one', 'name': 'Half-Life 2: Episode One', 'added': 11393}, {'id': 19709, 'slug': 'half-life-2-episode-two', 'name': 'Half-Life 2: Episode Two', 'added': 11285}, {'id': 3144, 'slug': 'super-meat-boy', 'name': 'Super Meat Boy', 'added': 9693}, {'id': 2873, 'slug': 'the-witness', 'name': 'The Witness', 'added': 6392}]"
84,THQ Nordic,thq-nordic,67,https://media.rawg.io/media/screenshots/9db/9db5d5ae17b26e26174d289e2654ed60.jpg,"[{'id': 11052, 'slug': 'titan-quest-anniversary-edition', 'name': 'Titan Quest Anniversary Edition', 'added': 8020}, {'id': 10449, 'slug': 'darksiders-ii-deathinitive-edition', 'name': 'Darksiders II Deathinitive Edition', 'added': 5671}, {'id': 4179, 'slug': 'darksiders-ii', 'name': 'Darksiders II', 'added': 5335}, {'id': 398423, 'slug': 'gothic-playable-teaser', 'name': 'Gothic Playable Teaser', 'added': 4867}, {'id': 15566, 'slug': 'red-faction-guerrilla', 'name': 'Red Faction: Guerrilla', 'added': 4723}, {'id': 123, 'slug': 'titan-quest', 'name': 'Titan Quest', 'added': 3980}]"
8933,BioWare,bioware,66,https://media.rawg.io/media/games/6e0/6e0c19bb111bd4fa20cf0eb72a049519.jpg,"[{'id': 4806, 'slug': 'mass-effect-2', 'name': 'Mass Effect 2', 'added': 9511}, {'id': 4166, 'slug': 'mass-effect', 'name': 'Mass Effect', 'added': 9001}, {'id': 15859, 'slug': 'star-wars-knights-of-the-old-republic-2', 'name': 'Star Wars: Knights of the Old Republic', 'added': 7001}, {'id': 4639, 'slug': 'dragon-age-origins', 'name': 'Dragon Age: Origins', 'added': 6928}, {'id': 28559, 'slug': 'dragon-age-inquisition', 'name': 'Dragon Age: Inquisition', 'added': 6392}, {'id': 4439, 'slug': 'mass-effect-3', 'name': 'Mass Effect 3', 'added': 4701}]"
17,Capcom U.S.A,capcom-usa-inc,81,https://media.rawg.io/media/games/f75/f751a9a43abb507bf95f9b96cc79feac.jpg,"[{'id': 46889, 'slug': 'monster-hunter-world-2', 'name': 'Monster Hunter: World', 'added': 8831}, {'id': 480, 'slug': 'resident-evil-7-biohazard', 'name': 'Resident Evil 7: Biohazard', 'added': 8760}, {'id': 4032, 'slug': 'dragons-dogma-dark-arisen', 'name': ""Dragon's Dogma: Dark Arisen"", 'added': 5195}, {'id': 4000, 'slug': 'remember-me', 'name': 'Remember Me', 'added': 5200}, {'id': 2805, 'slug': 'street-fighter-v', 'name': 'Street Fighter V', 'added': 4501}, {'id': 4012, 'slug': 'resident-evil-revelations-biohazard-revelations', 'name': 'Resident Evil Revelations', 'added': 4489}]"
9023,CD PROJEKT RED,cd-projekt-red,26,https://media.rawg.io/media/screenshots/cec/cec3bfdf1bcd8e9d49eaece1b8239cf3.jpg,"[{'id': 3328, 'slug': 'the-witcher-3-wild-hunt', 'name': 'The Witcher 3: Wild Hunt', 'added': 22166}, {'id': 41494, 'slug': 'cyberpunk-2077', 'name': 'Cyberpunk 2077', 'added': 13934}, {'id': 16944, 'slug': 'the-witcher-2-assassins-of-kings-enhanced-edition', 'name': 'The Witcher 2: Assassins of Kings Enhanced Edition', 'added': 12033}, {'id': 17822, 'slug': 'the-witcher-enhanced-edition-directors-cut', 'name': ""The Witcher: Enhanced Edition Director's Cut"", 'added': 11930}, {'id': 23557, 'slug': 'gwent-the-witcher-card-game', 'name': 'Gwent: The Witcher Card Game', 'added': 5067}, {'id': 244722, 'slug': 'gwent-thronebreaker', 'name': 'Thronebreaker: The Witcher Tales', 'added': 2442}]"
5833,Raven Software,raven-software,48,https://media.rawg.io/media/games/7e3/7e327a055bedb9b6d1be86593bef473d.jpg,"[{'id': 906, 'slug': 'cod-black-ops-iii', 'name': 'Call of Duty: Black Ops III', 'added': 7256}, {'id': 865, 'slug': 'call-of-duty-black-ops', 'name': 'Call of Duty: Black Ops', 'added': 6975}, {'id': 11276, 'slug': 'call-of-duty-modern-warfare-3', 'name': 'Call of Duty: Modern Warfare 3', 'added': 6372}, {'id': 884, 'slug': 'call-of-duty-modern-warfare-remastered', 'name': 'Call of Duty: Modern Warfare Remastered', 'added': 4636}, {'id': 4535, 'slug': 'modern-warfare', 'name': 'Call of Duty 4: Modern Warfare', 'added': 4520}, {'id': 11970, 'slug': 'star-wars-jedi-knight-jedi-academy', 'name': 'Star Wars Jedi Knight: Jedi Academy', 'added': 4409}]"
4037,Crystal Dynamics,crystal-dynamics,47,https://media.rawg.io/media/screenshots/19e/19ebc6b56274bca1ba381024a10b84dc.jpg,"[{'id': 5286, 'slug': 'tomb-raider', 'name': 'Tomb Raider (2013)', 'added': 17805}, {'id': 7689, 'slug': 'rise-of-the-tomb-raider', 'name': 'Rise of the Tomb Raider', 'added': 12399}, {'id': 3474, 'slug': 'lara-croft-and-the-temple-of-osiris', 'name': 'Lara Croft and the Temple of Osiris', 'added': 7184}, {'id': 4882, 'slug': 'lara-croft-gol', 'name': 'Lara Croft and the Guardian of Light', 'added': 5017}, {'id': 4869, 'slug': 'tomb-raider-underworld', 'name': 'Tomb Raider: Underworld', 'added': 4965}, {'id': 5298, 'slug': 'tomb-raider-legend', 'name': 'Tomb Raider: Legend', 'added': 4530}]"
3524,Rockstar North,rockstar-north,29,https://media.rawg.io/media/screenshots/43b/43b00286439d859eaea32b8e269b83f9.jpg,"[{'id': 3498, 'slug': 'grand-theft-auto-v', 'name': 'Grand Theft Auto V', 'added': 22522}, {'id': 4459, 'slug': 'grand-theft-auto-iv', 'name': 'Grand Theft Auto IV', 'added': 13188}, {'id': 416, 'slug': 'grand-theft-auto-san-andreas', 'name': 'Grand Theft Auto: San Andreas', 'added': 12095}, {'id': 430, 'slug': 'grand-theft-auto-vice-city', 'name': 'Grand Theft Auto: Vice City', 'added': 9878}, {'id': 4544, 'slug': 'red-dead-redemption', 'name': 'Red Dead Redemption', 'added': 7430}, {'id': 4414, 'slug': 'grand-theft-auto-episodes-from-liberty-city', 'name': 'Grand Theft Auto: Episodes from Liberty City', 'added': 3820}]"
237,505 Games,505-games,53,https://media.rawg.io/media/screenshots/73a/73a2c7af85d51bbdb20516bf2128fd7d.jpg,"[{'id': 3939, 'slug': 'payday-2', 'name': 'PAYDAY 2', 'added': 14138}, {'id': 58812, 'slug': 'control', 'name': 'Control', 'added': 9717}, {'id': 9743, 'slug': 'unturned', 'name': 'Unturned', 'added': 8544}, {'id': 13247, 'slug': 'human-fall-flat', 'name': 'Human: Fall Flat', 'added': 5909}, {'id': 3651, 'slug': 'sniper-elite-3', 'name': 'Sniper Elite 3', 'added': 4060}, {'id': 61176, 'slug': 'bloodstained-ritual-of-the-night', 'name': 'Bloodstained: Ritual of the Night', 'added': 3430}]"
1072,Digital Extremes,digital-extremes,21,https://media.rawg.io/media/games/657/657574cd437df9102f511b3be095b0ea.jpg,"[{'id': 4286, 'slug': 'bioshock', 'name': 'BioShock', 'added': 14759}, {'id': 766, 'slug': 'warframe', 'name': 'Warframe', 'added': 13140}, {'id': 4427, 'slug': 'bioshock-2', 'name': 'BioShock 2', 'added': 11553}, {'id': 10754, 'slug': 'bioshock-remastered', 'name': 'BioShock Remastered', 'added': 10915}, {'id': 11142, 'slug': 'bioshock-2-remastered', 'name': 'BioShock 2 Remastered', 'added': 9172}, {'id': 4223, 'slug': 'the-darkness-ii', 'name': 'The Darkness II', 'added': 8140}]"
